month,claims,total_paid
2021-01,1147,3404613.41
2021-02,1058,2685210.3
2021-03,1154,3177347.8
2021-04,1101,2961868.73
2021-05,1154,3407969.48
2021-06,1038,3272388.5
2021-07,1162,3673627.66
2021-08,1161,4080865.88
2021-09,1089,3046392.21
2021-10,1204,3487796.04
2021-11,1157,3490488.48
2021-12,1147,3296124.5
2022-01,1151,2925477.65
2022-02,1088,2698587.06
2022-03,1106,3615951.9
2022-04,1098,3445053.73
2022-05,1109,3046068.55
2022-06,1106,3549286.26
2022-07,1142,3225505.8
2022-08,1197,3257065.72
2022-09,1059,3247393.42
2022-10,1170,3570045.29
2022-11,1114,3027250.71
2022-12,1155,3487839.36
2023-01,1223,3578210.21
2023-02,1043,3362474.27
2023-03,1133,3319526.63
2023-04,1136,3614031.19
2023-05,1146,3277554.5
2023-06,1101,3640097.37
2023-07,1109,3033018.41
2023-08,1096,2988471.99
2023-09,1123,3266161.26
2023-10,1128,3410775.03
2023-11,1066,3073549.23
2023-12,1143,2881709.28
