diagnosis_code,description,category
2500,Diabetes mellitus without complication,Endocrine
4280,Congestive heart failure,Cardiovascular
41401,Coronary atherosclerosis,Cardiovascular
4919,COPD unspecified,Respiratory
5859,Chronic kidney disease unspecified,Renal
311,Depressive disorder,Behavioral Health
1749,Malignant neoplasm of breast,Oncology
43491,Cerebral artery occlusion with infarction,Cardiovascular
71489,Rheumatoid arthritis,Musculoskeletal
3310,Alzheimer's disease,Neurological
78650,Chest pain unspecified,Cardiovascular
486,Pneumonia organism unspecified,Respiratory
5990,Urinary tract infection,Renal
7242,Lumbago (low back pain),Musculoskeletal
496,Chronic airway obstruction,Respiratory
