drug_code,drug_name,drug_class,is_generic
00071015523,Lipitor (atorvastatin),Statins,False
00093715601,Atorvastatin (generic),Statins,True
00002751501,Humalog (insulin lispro),Insulin,False
00378180201,Metformin,Antidiabetic,True
00069153041,Norvasc (amlodipine),Antihypertensive,False
00591035501,Amlodipine (generic),Antihypertensive,True
00186007031,Lasix (furosemide),Diuretic,False
00378180501,Furosemide (generic),Diuretic,True
00074433902,Synthroid (levothyroxine),Thyroid,False
00006027331,Sertraline (generic),Antidepressant,True
