procedure_code,description,category,base_allowed_amount
99213,"Office visit, established patient, low complexity",E&M,75.0
99214,"Office visit, established patient, moderate complexity",E&M,110.0
99283,"Emergency department visit, moderate severity",E&M,180.0
93000,"Electrocardiogram, complete",Diagnostic,25.0
71046,"Chest X-ray, 2 views",Radiology,45.0
80053,Comprehensive metabolic panel,Lab,30.0
36415,Collection of venous blood,Lab,8.0
29881,Knee arthroscopy with meniscectomy,Surgery,1450.0
47562,Laparoscopic cholecystectomy,Surgery,2100.0
33533,"Coronary artery bypass, single graft",Surgery,18500.0
70450,CT head/brain without contrast,Radiology,260.0
97110,"Therapeutic exercise, physical therapy",Therapy,40.0
90837,"Psychotherapy, 60 minutes",Behavioral Health,150.0
27447,Total knee replacement,Surgery,14200.0
45378,Colonoscopy diagnostic,Surgery,850.0
