provider_id,provider_name,specialty,provider_type,state,npi_flag_suspicious
PRV20000,"Rodriguez, Figueroa and Sanchez Medical Group",Radiology,Individual Practitioner,OH,True
PRV20001,Doyle Ltd Clinic,Cardiology,Outpatient Facility,IL,True
PRV20002,"Mcclain, Miller and Henderson Medical Group",Family Practice,Individual Practitioner,GA,True
PRV20003,Davis and Sons Medical Group,Oncology,Physician Group,FL,True
PRV20004,"Guzman, Hoffman and Baldwin Medical Group",Neurology,Physician Group,NY,True
PRV20005,"Gardner, Robinson and Lawrence Medical Group",Nephrology,Physician Group,TX,True
PRV20006,Blake and Sons Clinic,Internal Medicine,Physician Group,PA,True
PRV20007,"Henderson, Ramirez and Lewis Clinic",Nephrology,Hospital,NC,True
PRV20008,Garcia-James Clinic,Cardiology,Individual Practitioner,OH,True
PRV20009,Abbott-Munoz Medical Group,Emergency Medicine,Physician Group,NY,True
PRV20010,Blair PLC Clinic,Radiology,Individual Practitioner,CA,True
PRV20011,Dudley Group Clinic,General Surgery,Individual Practitioner,TX,True
PRV20012,Arnold Ltd Clinic,Emergency Medicine,Outpatient Facility,GA,False
PRV20013,"Mcclure, Ward and Lee Clinic",Psychiatry,Hospital,MA,False
PRV20014,Williams and Sons Medical Group,Psychiatry,Individual Practitioner,GA,False
PRV20015,Galloway-Wyatt Medical Group,Emergency Medicine,Individual Practitioner,TX,False
PRV20016,James Group Medical Group,Neurology,Hospital,FL,False
PRV20017,"Flowers, Martin and Kelly Clinic",Nephrology,Hospital,GA,False
PRV20018,"Adams, Zuniga and Wong Clinic",Neurology,Physician Group,FL,False
PRV20019,"Reid, Ferguson and Sanchez Medical Group",Radiology,Outpatient Facility,IL,False
PRV20020,Gray-Mayo Clinic,Neurology,Hospital,MA,False
PRV20021,"Watts, Robinson and Nguyen Clinic",Radiology,Physician Group,CA,False
PRV20022,Perez Inc Medical Group,Cardiology,Physician Group,NY,False
PRV20023,Morales-Jones Medical Group,Internal Medicine,Outpatient Facility,FL,False
PRV20024,"Walter, Edwards and Rios Medical Group",Orthopedic Surgery,Hospital,MA,False
PRV20025,Wilkerson-Day Medical Group,Nephrology,Hospital,NY,False
PRV20026,Baker and Sons Clinic,Cardiology,Outpatient Facility,FL,False
PRV20027,"Hoffman, Baker and Richards Medical Group",Family Practice,Hospital,NY,False
PRV20028,"Ross, Robinson and Bright Clinic",Emergency Medicine,Hospital,OH,False
PRV20029,"Snyder, Campos and Callahan Medical Group",Psychiatry,Individual Practitioner,NY,False
PRV20030,Burton Ltd Clinic,Emergency Medicine,Hospital,CA,False
PRV20031,Carlson-Cruz Clinic,Orthopedic Surgery,Outpatient Facility,GA,False
PRV20032,"Ferrell, Rice and Maddox Medical Group",Cardiology,Hospital,PA,False
PRV20033,Frazier Inc Clinic,Orthopedic Surgery,Physician Group,IL,False
PRV20034,"Dyer, Potter and Mack Clinic",Nephrology,Physician Group,NC,False
PRV20035,Rodriguez-Graham Medical Group,Orthopedic Surgery,Hospital,NC,False
PRV20036,Smith-Bowen Medical Group,General Surgery,Physician Group,FL,False
PRV20037,"Baker, Mason and White Medical Group",Internal Medicine,Outpatient Facility,CA,False
PRV20038,Harrell LLC Clinic,Neurology,Hospital,CA,False
PRV20039,"Romero, Gonzalez and Brooks Medical Group",Anesthesiology,Individual Practitioner,FL,False
PRV20040,Ryan PLC Clinic,Anesthesiology,Hospital,CA,False
PRV20041,George Group Medical Group,Family Practice,Individual Practitioner,IL,False
PRV20042,Rodriguez LLC Medical Group,Psychiatry,Outpatient Facility,TX,False
PRV20043,Allen-Allen Clinic,Nephrology,Hospital,FL,False
PRV20044,"Arroyo, Miller and Tucker Clinic",Psychiatry,Physician Group,NY,False
PRV20045,Spence PLC Clinic,Oncology,Physician Group,MA,False
PRV20046,Anderson Group Medical Group,Oncology,Individual Practitioner,CA,False
PRV20047,"Martin, Rose and Obrien Clinic",Emergency Medicine,Physician Group,CA,False
PRV20048,Hickman Ltd Clinic,Radiology,Hospital,TX,False
PRV20049,"Harris, Collins and Carney Medical Group",Cardiology,Physician Group,OH,False
PRV20050,"Brooks, Lam and Hayes Medical Group",General Surgery,Outpatient Facility,FL,False
PRV20051,Walker LLC Clinic,Internal Medicine,Physician Group,NY,False
PRV20052,Chapman and Sons Clinic,Emergency Medicine,Physician Group,NY,False
PRV20053,"Robinson, Jones and Welch Medical Group",Nephrology,Outpatient Facility,FL,False
PRV20054,Jones Inc Clinic,Oncology,Outpatient Facility,PA,False
PRV20055,Jones-Young Clinic,General Surgery,Hospital,TX,False
PRV20056,"Washington, Ryan and Cummings Medical Group",Radiology,Hospital,FL,False
PRV20057,"Johnston, Sanchez and Kennedy Medical Group",Internal Medicine,Physician Group,IL,False
PRV20058,Lee-Davis Medical Group,Internal Medicine,Physician Group,FL,False
PRV20059,Gomez-Jenkins Clinic,Cardiology,Physician Group,NC,False
PRV20060,"Brown, Valdez and Lucas Medical Group",Nephrology,Individual Practitioner,GA,False
PRV20061,Powell LLC Clinic,Internal Medicine,Individual Practitioner,CA,False
PRV20062,Wright and Sons Medical Group,Radiology,Physician Group,OH,False
PRV20063,"West, Henderson and Ramirez Medical Group",Orthopedic Surgery,Individual Practitioner,GA,False
PRV20064,Baxter Inc Medical Group,Nephrology,Outpatient Facility,TX,False
PRV20065,Morton-Chase Clinic,Internal Medicine,Physician Group,NC,False
PRV20066,Williams PLC Clinic,General Surgery,Individual Practitioner,IL,False
PRV20067,Novak and Sons Medical Group,Internal Medicine,Outpatient Facility,FL,False
PRV20068,Russell Group Medical Group,Emergency Medicine,Physician Group,GA,False
PRV20069,Hancock Inc Medical Group,General Surgery,Individual Practitioner,TX,False
PRV20070,Gray Group Medical Group,Family Practice,Outpatient Facility,PA,False
PRV20071,House-Glover Medical Group,Cardiology,Individual Practitioner,TX,False
PRV20072,Henderson-Bernard Medical Group,Oncology,Physician Group,TX,False
PRV20073,"Stanley, Tucker and Lee Medical Group",Radiology,Outpatient Facility,FL,False
PRV20074,Novak PLC Medical Group,Family Practice,Outpatient Facility,GA,False
PRV20075,"Daniels, Adkins and Brown Clinic",Anesthesiology,Hospital,OH,False
PRV20076,"Woods, Calhoun and Schmidt Medical Group",Internal Medicine,Individual Practitioner,IL,False
PRV20077,Yu Inc Medical Group,Oncology,Hospital,OH,False
PRV20078,Jones Inc Medical Group,Nephrology,Outpatient Facility,IL,False
PRV20079,"Hensley, Powell and David Medical Group",Cardiology,Outpatient Facility,MA,False
PRV20080,"Sanchez, Wheeler and Harvey Clinic",Cardiology,Outpatient Facility,OH,False
PRV20081,Sandoval-Cunningham Clinic,Oncology,Outpatient Facility,FL,False
PRV20082,Donovan-Harris Clinic,Psychiatry,Outpatient Facility,FL,False
PRV20083,"Edwards, Baker and Anderson Clinic",Psychiatry,Individual Practitioner,GA,False
PRV20084,"Evans, Stewart and Walton Clinic",Nephrology,Individual Practitioner,NC,False
PRV20085,Smith PLC Medical Group,Neurology,Individual Practitioner,OH,False
PRV20086,"Ferrell, Jones and Lewis Medical Group",Emergency Medicine,Outpatient Facility,MA,False
PRV20087,Anderson-Bailey Clinic,Psychiatry,Individual Practitioner,MA,False
PRV20088,Suarez LLC Clinic,Nephrology,Physician Group,PA,False
PRV20089,Moore-Bass Medical Group,General Surgery,Outpatient Facility,NC,False
PRV20090,"Turner, Riggs and Roman Clinic",Orthopedic Surgery,Individual Practitioner,GA,False
PRV20091,"Smith, Montoya and Evans Medical Group",Emergency Medicine,Physician Group,IL,False
PRV20092,"Garcia, Humphrey and Baker Medical Group",Radiology,Hospital,CA,False
PRV20093,Newton and Sons Clinic,Emergency Medicine,Individual Practitioner,MA,False
PRV20094,Campbell-Clark Medical Group,Nephrology,Individual Practitioner,IL,False
PRV20095,Harris-Walters Clinic,Oncology,Physician Group,FL,False
PRV20096,Wagner-King Clinic,Anesthesiology,Hospital,CA,False
PRV20097,Davis Group Medical Group,Cardiology,Hospital,IL,False
PRV20098,Williams-Cook Medical Group,General Surgery,Individual Practitioner,NC,False
PRV20099,Walsh LLC Medical Group,General Surgery,Physician Group,MA,False
PRV20100,Figueroa PLC Medical Group,General Surgery,Outpatient Facility,FL,False
PRV20101,"Patterson, Smith and Jones Medical Group",Orthopedic Surgery,Outpatient Facility,NY,False
